City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,41.76,97,100,30.82,TF,1720634516
1,santa ana,33.7456,-117.8678,88.32,68,40,9.22,US,1720634316
2,georgetown,5.4112,100.3354,82.35,69,20,6.91,MY,1720634320
3,waitangi,-43.9535,-176.5597,46.81,91,100,11.99,NZ,1720634370
4,ribeira grande,38.5167,-28.7,79.2,57,20,14.0,PT,1720634522
5,tiksi,71.6872,128.8694,53.98,56,63,1.07,RU,1720634385
6,idrinskoye,54.3708,92.1358,59.72,81,100,3.27,RU,1720634525
7,san angelo,31.4638,-100.437,95.22,29,0,7.0,US,1720634526
8,nadym,65.5333,72.5167,61.48,60,1,6.26,RU,1720634528
9,puerto natales,-51.7236,-72.4875,41.45,70,20,14.97,CL,1720634529
10,bethel,41.3712,-73.414,89.06,75,98,1.99,US,1720634531
11,monrovia,6.3005,-10.7969,76.77,81,99,14.09,LR,1720634532
12,tromso,69.6496,18.957,57.22,62,20,6.91,NO,1720634464
13,pandan,14.0453,124.1694,79.9,87,100,2.15,PH,1720634535
14,sandnessjoen,66.0217,12.6316,72.12,43,75,6.91,NO,1720634536
15,tangalle,6.024,80.7911,79.59,84,100,10.29,LK,1720634382
16,newman,37.3138,-121.0208,95.52,19,0,4.45,US,1720634539
17,papatowai,-46.5619,169.4708,43.92,90,0,3.0,NZ,1720634540
18,cutral-co,-38.9469,-69.2089,45.91,10,62,5.01,AR,1720634542
19,yellowknife,62.456,-114.3525,68.41,50,75,4.0,CA,1720634471
20,reggane,26.7158,0.1714,111.51,5,1,18.28,DZ,1720634545
21,stanley,54.868,-1.6985,55.78,97,75,3.44,GB,1720634546
22,tabou,4.423,-7.3528,76.59,78,91,9.1,CI,1720634548
23,grytviken,-54.2811,-36.5092,32.94,98,100,14.56,GS,1720634549
24,puerto ayora,-0.7393,-90.3518,76.96,90,31,5.99,EC,1720634551
25,atafu village,-8.5421,-172.5159,83.75,69,95,15.64,TK,1720634552
26,isafjordur,66.0755,-23.124,57.24,62,100,9.22,IS,1720634554
27,edinburgh of the seven seas,-37.0676,-12.3116,50.4,53,80,23.55,SH,1720634555
28,olonkinbyen,70.9221,-8.7187,38.97,90,44,16.93,SJ,1720634465
29,aasiaat,68.7098,-52.8699,38.73,90,100,8.75,GL,1720634558
30,lebu,-37.6167,-73.65,47.64,66,37,7.38,CL,1720634547
31,badger,64.8,-147.5333,66.99,65,71,1.01,US,1720634561
32,hawaiian paradise park,19.5933,-154.9731,76.51,85,75,5.75,US,1720634562
33,phang nga,8.4509,98.5298,77.04,97,100,2.44,TH,1720634342
34,northam,51.0333,-4.2167,62.38,83,85,16.04,GB,1720634565
35,vadso,70.0744,29.7487,59.88,76,0,10.36,NO,1720634567
36,uliastay,47.7417,96.8444,58.89,72,88,3.74,MN,1720634568
37,queenstown,-31.8976,26.8753,54.39,25,12,13.24,ZA,1720634570
38,touros,-5.1989,-35.4608,78.87,81,100,14.79,BR,1720634548
39,porto novo,6.4965,2.6036,80.42,82,74,9.69,BJ,1720634573
40,thompson,55.7435,-97.8558,77.16,57,40,9.22,CA,1720634574
41,iqaluit,63.7506,-68.5145,47.93,76,40,5.75,CA,1720634500
42,ban houayxay,20.2453,100.4547,74.52,99,100,0.34,LA,1720634577
43,lakhna,26.65,79.15,92.89,58,96,9.82,IN,1720634579
44,luderitz,-26.6481,15.1594,58.71,81,47,2.95,NA,1720634582
45,acapulco de juarez,16.8634,-99.8901,76.03,82,100,4.88,MX,1720634408
46,maceio,-9.6658,-35.7353,81.84,94,40,16.11,BR,1720634354
47,cidreira,-30.1811,-50.2056,51.37,95,100,8.81,BR,1720634586
48,san bernardo del viento,9.3533,-75.9524,85.15,75,99,6.44,CO,1720634588
49,anadyr,64.75,177.4833,43.3,100,75,4.47,RU,1720634590
50,itajuba,-22.4256,-45.4528,73.35,65,54,4.32,BR,1720634592
51,albany,42.6001,-73.9662,92.57,65,99,1.99,US,1720634377
52,abadeh,31.1608,52.6506,84.04,13,63,10.92,IR,1720634597
53,prince rupert,54.3161,-130.3201,57.29,92,100,4.61,CA,1720634599
54,college,64.8569,-147.8028,66.09,66,40,5.75,US,1720634436
55,badiyah,22.45,58.8,81.54,74,92,12.66,OM,1720634351
56,crane,31.3974,-102.3501,90.59,27,2,9.98,US,1720634394
57,n'zeto,-7.2312,12.8666,69.67,88,54,10.65,AO,1720634604
58,lundazi,-12.2929,33.1782,58.41,39,2,7.07,ZM,1720634472
59,itoman,26.1247,127.6694,86.38,91,20,11.5,JP,1720634595
60,chinde,26.8212,87.7095,76.14,88,99,3.33,NP,1720634609
61,bilibino,68.0546,166.4372,40.64,70,4,5.59,RU,1720634610
62,burabay,53.0838,70.3138,68.25,63,95,1.07,KZ,1720634613
63,adamstown,-25.066,-130.1015,68.25,62,95,14.58,PN,1720634427
64,margaret river,-33.95,115.0667,56.48,63,84,11.92,AU,1720634616
65,katsuura,35.1333,140.3,78.89,90,100,31.05,JP,1720634371
66,ilulissat,69.2167,-51.1,37.83,87,96,5.77,GL,1720634367
67,kodiak,57.79,-152.4072,49.91,95,100,5.06,US,1720634440
68,pionerskiy,54.9508,20.2275,82.24,68,39,14.47,RU,1720634622
69,ushuaia,-54.8,-68.3,38.86,65,75,27.63,AR,1720634407
70,molde,62.7375,7.1591,63.91,88,0,9.22,NO,1720634625
71,i-n-salah,27.1935,2.4607,111.24,7,2,19.01,DZ,1720634626
72,qaqortoq,60.7167,-46.0333,44.73,89,100,9.84,GL,1720634628
73,morteros,-30.7116,-61.9986,51.03,38,15,4.9,AR,1720634629
74,ambon,-3.6954,128.1814,80.87,95,75,6.91,ID,1720634631
75,ulladulla,-35.35,150.4667,49.15,82,3,4.12,AU,1720634632
76,wailua homesteads,22.0669,-159.378,78.13,79,16,4.0,US,1720634633
77,sinabang,2.4803,96.3801,79.25,81,100,5.17,ID,1720634635
78,west island,-12.1568,96.8225,80.58,83,20,13.8,CC,1720634421
79,longyearbyen,78.2186,15.6401,42.64,87,40,10.36,SJ,1720634638
80,hamilton,39.1834,-84.5333,74.25,78,100,25.01,US,1720634639
81,talnakh,69.4865,88.3972,66.6,65,68,5.93,RU,1720634640
82,vallenar,-28.5708,-70.7581,55.09,58,30,6.33,CL,1720634642
83,xiva,41.3783,60.3639,89.58,20,0,12.06,UZ,1720634643
84,nienburg,52.6333,9.2167,77.29,81,99,6.78,DE,1720634644
85,sitka,57.0531,-135.33,55.83,84,100,5.32,US,1720634646
86,andergrove,-21.0833,149.1833,56.48,91,2,8.57,AU,1720634647
87,jamestown,42.097,-79.2353,77.72,100,100,9.22,US,1720634649
88,keflavik,64.0049,-22.5624,52.23,93,100,16.11,IS,1720634650
89,bosaso,11.2842,49.1816,94.96,41,97,20.38,SO,1720634652
90,sechura,-5.5569,-80.8222,75.4,57,9,12.37,PE,1720634653
91,bam,29.106,58.357,97.0,14,94,4.43,IR,1720634437
92,magong,23.5654,119.5863,84.97,79,78,15.37,TW,1720634656
93,autun,46.95,4.3,72.72,76,60,2.24,FR,1720634657
94,port macquarie,-31.4333,152.9167,46.08,98,0,1.99,AU,1720634658
95,hithadhoo,-0.6,73.0833,83.55,73,7,8.57,MV,1720634660
96,new glasgow,45.5834,-62.6486,76.78,66,80,10.16,CA,1720634389
97,bumba,2.1833,22.4667,77.92,73,86,1.88,CD,1720634663
98,vernon,50.2581,-119.2691,93.61,32,5,2.3,CA,1720634460
99,port mathurin,-19.6833,63.4167,73.8,70,24,21.07,MU,1720634666
100,naze,28.3667,129.4833,81.52,86,95,12.86,JP,1720634475
101,itaituba,-4.2761,-55.9836,91.56,55,40,8.05,BR,1720634458
102,blackmans bay,-43.0167,147.3167,46.53,96,46,1.01,AU,1720634670
103,salalah,17.0151,54.0924,80.69,100,100,2.3,OM,1720634671
104,dhromolaxia,34.8755,33.5868,87.46,76,0,6.91,CY,1720634404
105,lima,-12.0432,-77.0282,70.61,73,43,8.77,PE,1720634601
106,port alfred,-33.5906,26.891,66.61,49,66,12.84,ZA,1720634676
107,nova sintra,14.8667,-24.7167,74.64,82,69,24.05,CV,1720634677
108,vilyuchinsk,52.9306,158.4028,55.67,95,98,2.48,RU,1720634410
109,xinyuan,37.3,99.0,49.15,82,93,2.06,CN,1720634680
110,yokadouma,3.5167,15.05,71.87,93,83,2.91,CM,1720634681
111,dunedin,-45.8742,170.5036,43.81,86,0,1.99,NZ,1720634475
112,trairi,-3.2778,-39.2689,82.42,69,52,14.97,BR,1720634684
113,remire-montjoly,4.9167,-52.2667,80.64,83,3,3.44,GF,1720634686
114,quang ngai,15.1167,108.8,76.32,93,100,4.79,VN,1720634687
115,kapit,2.0167,112.9333,72.99,100,100,0.85,MY,1720634689
116,st. john's,47.5649,-52.7093,77.14,83,75,20.71,CA,1720634404
117,kropachevo,55.0112,57.9896,62.74,85,72,4.05,RU,1720634693
118,uturoa,-16.7333,-151.4333,76.87,79,99,5.57,PF,1720634694
119,tazovsky,67.4667,78.7,57.0,71,12,8.08,RU,1720634696
120,poli,-3.3333,36.8,59.49,58,78,3.89,TZ,1720634697
121,tsetserleg,47.475,101.4542,55.8,85,99,2.55,MN,1720634699
122,freetown,8.484,-13.2299,78.51,89,75,9.22,SL,1720634700
123,chake chake,-5.2459,39.7666,76.84,77,85,16.11,TZ,1720634701
124,barmer,25.75,71.3833,91.54,59,51,17.18,IN,1720634704
125,shache,38.4167,77.2406,81.01,29,98,9.4,CN,1720634706
126,utrik,11.2278,169.8474,82.53,79,99,15.3,MH,1720634707
127,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,100,100,2.24,RU,1720634708
128,port saint john's,-31.6229,29.5448,65.5,62,77,11.1,ZA,1720634710
129,buka,40.8108,69.1986,77.99,41,17,7.4,UZ,1720634711
130,el hadjira,32.6134,5.5126,114.21,6,0,4.72,DZ,1720634713
131,barra de santo antonio,-9.4047,-35.5072,79.88,80,30,12.68,BR,1720634714
132,carnarvon,-24.8667,113.6333,65.62,71,16,15.03,AU,1720634716
133,whakatane,-37.9585,176.9854,40.77,99,26,1.99,NZ,1720634717
134,constitucion,-35.3333,-72.4167,51.71,48,6,7.36,CL,1720634719
135,chandler,33.3062,-111.8412,107.01,20,0,3.0,US,1720634457
136,abbeville,50.1,1.8333,69.49,76,87,9.8,FR,1720634633
137,nyurba,63.2842,118.3319,63.09,67,95,3.13,RU,1720634723
138,barcelos,41.5388,-8.6151,80.92,78,51,5.1,PT,1720634724
139,barquisimeto,10.0739,-69.3228,88.43,45,40,13.35,VE,1720634726
140,el molar,40.7322,-3.5797,91.67,36,20,6.91,ES,1720634727
141,constantia,44.1833,28.65,84.88,60,59,3.78,RO,1720634730
142,coursan,43.2337,3.0571,82.92,45,0,1.99,FR,1720634731
143,bredasdorp,-34.5322,20.0403,60.94,63,59,24.29,ZA,1720634733
144,fort bragg,35.139,-79.006,96.64,56,75,9.22,US,1720634734
145,muntok,-2.0667,105.1833,78.13,85,0,9.53,ID,1720634736
146,bantay,17.5847,120.3892,80.49,83,11,4.92,PH,1720634737
147,mil'kovo,55.6078,37.7956,72.0,55,19,8.72,RU,1720634738
148,wynyard,-41.0,145.7167,49.64,87,92,4.59,AU,1720634740
149,mossel bay,-34.1831,22.146,67.93,58,80,13.4,ZA,1720634741
150,ofunato,39.0717,141.7167,69.24,99,100,3.11,JP,1720634743
151,priyutnoye,46.1011,43.5072,86.07,24,95,9.44,RU,1720634744
152,margate,51.3813,1.3862,66.69,64,62,1.99,GB,1720634526
153,tommot,58.9564,126.2925,52.74,95,35,0.13,RU,1720634747
154,saint-pierre,-21.3393,55.4781,69.48,78,100,9.22,RE,1720634748
155,san antonio de pale,-1.4014,5.6325,72.39,84,96,11.07,GQ,1720634479
156,carauari,-4.8828,-66.8958,93.29,41,6,2.39,BR,1720634751
157,stung treng,13.5259,105.9683,74.91,99,90,4.05,KH,1720634753
158,arauco,-37.2463,-73.3175,52.61,48,21,6.33,CL,1720634754
159,nema,57.5067,50.5011,68.63,73,27,8.61,RU,1720634756
160,susuman,62.7833,148.1667,53.67,57,0,3.13,RU,1720634757
161,bireun,5.203,96.7009,77.67,80,100,3.8,ID,1720634758
162,avarua,-21.2078,-159.775,66.25,77,75,4.61,CK,1720634760
163,hermanus,-34.4187,19.2345,60.8,78,58,30.78,ZA,1720634728
164,bambanglipuro,-7.95,110.2833,75.38,87,100,8.21,ID,1720634763
165,firuzabad,28.8438,52.5707,88.65,14,27,3.87,IR,1720634764
166,whitehorse,60.7161,-135.0538,58.1,76,100,15.01,CA,1720634467
167,nuuk,64.1835,-51.7216,41.61,100,100,9.22,GL,1720634767
168,buala,-8.145,159.5921,79.25,87,100,8.5,SB,1720634768
169,santana,-0.0583,-51.1817,86.18,74,40,10.36,BR,1720634734
170,marsh harbour,26.5412,-77.0636,84.51,64,67,9.04,BS,1720634771
171,lospalos,-8.5186,127.0025,70.12,84,96,7.2,TL,1720634772
172,wuchuan,21.4571,110.7659,82.72,83,78,9.44,CN,1720634774
173,antsiranana,-12.2787,49.2917,74.64,69,14,17.09,MG,1720634775
174,al ghayzah,16.2079,52.176,82.36,82,99,14.72,YE,1720634777
175,talakan,50.3167,130.3667,49.15,95,40,4.43,RU,1720634773
176,kampene,-3.6,26.6667,76.93,36,60,0.63,CD,1720634779
177,sao jose da coroa grande,-8.8978,-35.1478,78.46,81,16,14.05,BR,1720634781
178,ilebo,-4.3167,20.5833,78.64,21,98,1.14,CD,1720634782
179,kolonia,50.9333,6.95,76.82,76,44,6.78,DE,1720634784
180,marat,25.0701,45.4615,98.8,11,24,7.09,SA,1720634785
181,pingdingshan,33.7385,113.3012,71.2,91,100,4.52,CN,1720634787
182,pointe-noire,-4.7761,11.8635,70.59,84,80,7.4,CG,1720634788
183,isangel,-19.55,169.2667,72.99,82,100,18.72,VU,1720634789
184,nar'yan-mar,67.6713,53.087,47.53,89,94,16.51,RU,1720634791
185,ixtapa,20.7,-105.2,87.22,66,75,4.61,MX,1720634792
186,kulhudhuffushi,6.6221,73.07,83.19,78,100,10.38,MV,1720634794
187,kailua-kona,19.6406,-155.9956,80.56,87,20,9.22,US,1720634701
188,beitbridge,-22.2167,30.0,61.18,9,0,4.07,ZW,1720634796
189,kapuskasing,49.4169,-82.4331,60.89,77,100,9.22,CA,1720634498
190,viedma,-40.8135,-62.9967,47.66,42,100,19.62,AR,1720634525
191,colonia menno,-22.3667,-59.8167,60.22,28,45,4.54,PY,1720634801
192,cabedelo,-6.9811,-34.8339,81.27,76,99,15.28,BR,1720634802
193,minas de marcona,-15.2119,-75.1103,59.58,59,35,17.25,PE,1720634804
194,cabo san lucas,22.8909,-109.9124,90.7,58,0,9.22,MX,1720634805
195,sapri,40.0751,15.6296,77.34,79,35,1.54,IT,1720634807
196,kourou,5.1552,-52.6478,80.65,77,18,6.42,GF,1720634808
197,mogocha,53.7333,119.7667,62.08,87,66,3.27,RU,1720634810
198,kajiado,-1.8524,36.7768,61.41,70,94,8.14,KE,1720634811
199,callaway,30.153,-85.5699,90.91,69,45,10.0,US,1720634812
200,miri,4.4148,114.0089,76.91,92,99,4.16,MY,1720634814
201,udachny,66.4167,112.4,62.71,69,35,3.13,RU,1720634815
202,pisco,-13.7,-76.2167,64.45,77,100,8.05,PE,1720634817
203,lompoc,34.6391,-120.4579,78.58,72,0,9.22,US,1720634819
204,grand falls-windsor,48.9332,-55.6649,80.51,74,36,14.74,CA,1720634820
205,boa vista,2.8197,-60.6733,89.58,55,75,6.91,BR,1720634718
206,klyuchi,52.2667,79.1667,66.33,54,66,5.75,RU,1720634823
207,saint-joseph,-21.3667,55.6167,68.38,75,30,10.33,RE,1720634825
208,axim,4.8699,-2.2405,76.71,83,99,9.66,GH,1720634826
209,xilin hot,43.9667,116.0333,65.52,75,54,3.87,CN,1720634827
210,ilha de mocambique,-15.0342,40.7358,75.99,65,46,14.63,MZ,1720634829
211,saint-laurent-du-maroni,5.5039,-54.0289,84.2,77,37,3.2,GF,1720634830
212,utiel,39.5667,-1.2,95.43,21,0,10.83,ES,1720634832
213,hami,42.8,93.45,81.39,29,0,17.72,CN,1720634833
214,murzuq,25.9155,13.9184,97.45,15,0,7.25,LY,1720634835
215,nieuw amsterdam,5.8833,-55.0833,93.36,58,40,2.3,SR,1720634836
216,nantucket,41.2835,-70.0995,82.51,97,100,16.93,US,1720634571
217,alenquer,-1.9417,-54.7383,93.81,41,16,6.17,BR,1720634839
218,vila franca do campo,37.7167,-25.4333,73.81,65,9,10.36,PT,1720634840
219,fortuna,40.5982,-124.1573,58.98,95,100,9.22,US,1720634842
220,lihue,21.9789,-159.3672,78.75,75,20,13.8,US,1720634843
221,yelizovo,53.1873,158.3805,53.74,100,100,2.24,RU,1720634845
222,sur,22.5667,59.5289,85.23,72,95,9.91,OM,1720634846
223,bikenibeu village,1.3673,173.1241,82.36,83,40,5.75,KI,1720634821
224,portland,45.5234,-122.6762,86.61,35,0,1.99,US,1720634403
225,sultanah,24.4926,39.5857,102.65,8,0,4.61,SA,1720634851
226,new norfolk,-42.7826,147.0587,47.71,98,65,2.37,AU,1720634852
227,hola,51.5377,23.1902,84.38,59,15,10.31,PL,1720634853
228,tataouine,32.9297,10.4518,92.46,20,0,15.59,TN,1720634855
229,ves'yegonsk,58.664,37.2604,63.55,58,24,4.43,RU,1720634856
230,tsiombe,-25.3,45.4833,66.69,89,0,7.67,MG,1720634858
231,lazaro cardenas,17.9583,-102.2,83.79,68,96,3.09,MX,1720634859
232,nookat,40.2671,72.6207,70.56,43,99,6.31,KG,1720634862
233,opuwo,-18.0607,13.84,65.17,13,0,6.26,NA,1720634863
234,codrington,-38.2667,141.9667,53.82,61,100,21.47,AU,1720634865
235,tarikere,13.7167,75.8167,72.63,86,83,10.65,IN,1720634869
236,zhezqazghan,47.7833,67.7667,77.7,30,3,12.01,KZ,1720634871
237,chonchi,-42.6128,-73.8092,49.12,85,100,5.57,CL,1720634872
238,nuku'alofa,-21.1333,-175.2,70.14,73,40,10.36,TO,1720634874
239,sumbe,-11.2061,13.8437,67.78,87,61,6.2,AO,1720634875
240,bhusaval,21.05,75.7667,83.55,75,100,10.78,IN,1720634877
241,cambria,35.5641,-121.0808,91.17,65,4,8.34,US,1720634878
242,filingue,14.3521,3.3168,98.31,34,21,6.15,NE,1720634880
243,shiqian,27.5225,108.2281,73.94,93,99,3.8,CN,1720634881
244,siwana,25.6333,72.4167,91.65,60,96,17.81,IN,1720634883
245,kerikeri,-35.2268,173.9474,50.92,85,64,4.0,NZ,1720634884
246,ca mau,9.1769,105.15,78.78,92,100,3.47,VN,1720634886
247,taoudenni,22.6783,-3.9836,116.13,7,0,5.57,ML,1720634887
248,glace bay,46.1969,-59.957,84.88,65,100,10.94,CA,1720634889
249,karamay,45.6004,84.8661,77.86,46,37,21.16,CN,1720634890
250,hammerfest,70.6634,23.6821,54.05,71,20,6.91,NO,1720634892
251,priozersk,61.0393,30.1291,62.33,68,39,6.38,RU,1720634893
252,saint-louis,16.3333,-15.0,99.82,32,99,11.27,SN,1720634896
253,ayr,55.4627,-4.6339,64.29,77,75,3.44,GB,1720634898
254,ballina,-28.8667,153.5667,57.78,91,50,11.18,AU,1720634899
255,coahuayana de hidalgo,18.7,-103.6583,85.78,69,100,6.26,MX,1720634900
256,arenapolis,-14.4503,-56.8461,85.5,30,1,2.91,BR,1720634902
257,zaqatala,41.6336,46.6433,81.07,51,75,9.22,AZ,1720634903
258,bonthe,7.5264,-12.505,78.12,87,93,10.74,SL,1720634905
259,pagsanghan,11.9657,124.7212,78.57,91,100,2.35,PH,1720634908
260,alofi,-19.0595,-169.9187,67.89,73,75,8.05,NU,1720634909
261,altay,47.8667,88.1167,58.98,75,27,5.57,CN,1720634911
262,errachidia,31.9275,-4.4285,102.22,6,0,7.96,MA,1720634912
263,ta`u,-14.2336,-169.5144,78.06,76,95,22.64,AS,1720634672
264,kirensk,57.7853,108.1119,67.77,71,89,3.71,RU,1720634915
265,kapa'a,22.0752,-159.319,79.48,76,20,13.8,US,1720634916
266,palmer,42.1584,-72.3287,90.01,60,75,17.27,US,1720634918
267,aykhal,66.0,111.5,60.8,71,72,3.91,RU,1720634829
268,pasuquin,18.3328,120.6177,79.83,86,33,4.47,PH,1720634921
269,la souterraine,46.2371,1.487,71.91,93,34,5.88,FR,1720634922
270,fort mcmurray,56.7268,-111.381,85.59,48,0,3.44,CA,1720634736
271,kavaratti,10.5669,72.642,81.41,83,100,9.26,IN,1720634925
272,invercargill,-46.4,168.35,36.01,97,42,1.01,NZ,1720634926
273,faya-largeau,17.9257,19.1043,97.29,12,95,7.58,TD,1720634928
274,santana do livramento,-30.8908,-55.5328,49.1,82,38,4.56,BR,1720634929
275,santo antonio do ica,-3.1022,-67.9397,89.98,51,8,3.24,BR,1720634931
276,fale old settlement,-9.3852,-171.2468,83.03,71,43,17.52,TK,1720634932
277,enewetak,11.3474,162.3373,83.28,75,25,18.1,MH,1720634933
278,belmont,37.5202,-122.2758,82.58,71,20,6.91,US,1720634935
279,katsuren-haebaru,26.3369,127.8719,86.38,88,75,9.22,JP,1720634936
280,gadzhiyevo,69.2551,33.3362,54.0,68,87,2.68,RU,1720634939
281,kyren,51.6828,102.1408,64.17,90,95,0.89,RU,1720634940
282,gaiman,-43.2897,-65.4929,48.83,52,54,19.08,AR,1720634942
283,dudinka,69.4058,86.1778,62.67,61,44,8.93,RU,1720634943
284,hasaki,35.7333,140.8333,82.8,85,99,24.9,JP,1720634945
285,coari,-4.085,-63.1414,84.6,61,44,2.37,BR,1720634947
